dist_km,ele,grade_pct,asym_power,asym_speed,gordon_power,gordon_speed
181.213,527.2,-2.5,183.6,32.4,166.5,31.2
181.242,526.4,-2.8,150.4,36.1,151.2,35.1
181.401,522.2,-2.6,114.2,39.1,136.0,38.9
181.430,520.6,-5.5,0.0,42.2,0.0,42.5
181.461,519.2,-4.5,65.5,43.8,120.4,44.3
181.493,516.8,-7.5,0.0,46.1,0.0,46.7
181.526,515.2,-4.9,22.5,48.1,109.5,48.9
181.558,513.8,-4.3,22.5,48.6,107.8,49.8
181.589,512.6,-3.9,22.5,48.7,107.4,50.2
181.619,512.0,-2.0,28.6,47.8,109.3,49.6
181.647,511.8,-0.7,50.3,46.1,113.1,48.1
181.674,512.4,2.3,88.4,43.1,121.4,45.4
181.806,516.6,3.2,199.5,33.9,167.2,35.0
181.822,517.6,6.1,253.7,25.1,233.1,24.8
181.838,518.2,3.7,256.8,23.3,241.3,22.7
181.856,518.6,2.3,254.0,23.3,236.0,22.6
181.884,519.0,1.4,248.1,24.4,224.9,23.6
181.904,519.2,1.0,241.7,25.8,214.1,24.7
181.932,519.4,0.7,236.9,27.0,206.5,25.8
181.950,520.0,3.3,241.2,27.0,215.9,25.7
181.968,520.6,3.5,246.3,25.8,226.6,24.4
181.994,521.2,2.3,246.3,25.3,226.3,23.8
182.013,521.0,-1.1,234.6,26.6,204.0,25.1
182.045,519.6,-4.4,193.7,31.0,171.5,29.7
182.224,508.8,-6.0,0.0,41.4,0.0,40.6
182.254,507.8,-3.2,22.5,48.4,111.7,48.3
182.298,507.0,-1.8,38.1,47.0,114.1,47.5
182.362,508.4,2.2,108.2,41.7,130.5,42.6
182.438,509.4,1.3,178.1,35.0,155.5,35.6
182.476,509.2,-0.5,188.6,33.0,163.0,33.0
182.573,508.2,-1.0,170.9,34.4,157.1,34.0
182.596,508.8,2.6,184.5,34.2,163.7,33.6
182.618,509.0,0.9,196.5,32.7,170.1,31.9
182.641,509.2,0.9,202.5,32.1,174.0,31.2
182.665,509.0,-0.8,195.4,32.4,171.1,31.3
182.739,508.6,-0.5,183.9,33.4,165.9,32.3
182.805,507.0,-2.4,152.3,35.8,151.6,34.9
182.868,505.6,-2.2,128.5,38.3,141.2,37.9
182.892,506.0,1.7,143.3,37.9,145.5,37.7
182.914,506.6,2.7,172.1,35.4,156.7,35.1
182.935,507.2,3.0,198.0,33.0,169.1,32.5
182.953,507.8,3.3,224.9,30.9,185.2,30.2
182.970,508.8,5.9,239.9,28.4,211.3,27.3
183.008,511.0,5.7,259.9,23.8,255.7,22.8
183.023,511.6,4.0,266.5,20.9,268.0,20.1
183.039,512.0,2.6,262.2,21.3,255.1,20.6
183.065,512.4,1.6,254.9,22.8,237.7,22.1
183.101,512.2,-0.5,237.0,26.0,205.0,25.1
183.129,511.8,-1.4,219.0,29.7,184.4,28.5
183.237,512.4,0.6,211.1,31.2,181.7,29.7
183.257,512.6,1.0,213.8,31.1,184.5,29.4
183.329,513.6,1.4,223.5,30.3,191.8,28.4
183.351,513.6,0.0,221.4,30.1,190.4,28.1
183.409,514.0,0.7,217.4,30.6,188.1,28.6
183.431,514.2,0.9,217.7,30.7,188.4,28.7
183.453,514.2,0.0,212.8,30.9,185.3,28.9
183.487,514.0,-0.6,200.3,31.9,177.7,30.0
183.523,513.6,-1.1,184.6,33.2,168.8,31.5
